course,lng,lat,Estblsh,Age_yrs,Mn_prtc,Mn_vlnt
harrowlodge,0.201445,51.557489,12/01/2013,6.2,107.2,15.6
,,,,,,
raphael,0.192872,51.586463,02/05/2015,3.9,188.2,22.2
,,,,,,
dartfordheath,0.190158,51.435999,12/05/2018,0.8,97.1,14.8
,,,,,,
lullingstone,0.187143,51.353144,11/04/2015,3.9,49.6,13.3
,,,,,,
cambridge,0.164623,52.237643,30/01/2010,9.1,353.2,29.9
,,,,,,
castlepark,0.16417,51.87168,30/09/2017,1.4,282.4,30.9
,,,,,,
coldhamscommon,0.154694,52.208409,29/09/2018,0.4,292.1,28.9
,,,,,,
footscraymeadows,0.13322,51.432203,21/07/2018,0.6,103.1,14.7
,,,,,,
bexley,0.116816,51.454809,04/02/2012,7.1,249.7,13.1
,,,,,,
orpington,0.116429,51.367266,15/09/2012,6.5,133.3,9.4
,,,,,,
harlow,0.10776,51.779152,08/11/2014,4.3,148.7,21.8
,,,,,,
hoblingwell,0.099056,51.402528,15/07/2017,1.7,68.2,16
,,,,,,
barking,0.086088,51.545348,28/07/2012,6.6,74.7,12.3
,,,,,,
march,0.085256,52.550112,23/01/2016,3.1,149.1,25.2
,,,,,,
greenwich,0.076368,51.448618,06/03/2010,9,143.3,13.5
,,,,,,
valentines,0.069609,51.568001,19/02/2011,8.1,165.9,11.6
,,,,,,
rodingvalley,0.066497,51.638589,14/01/2017,2.2,110.8,13.8
,,,,,,
beckton,0.05373,51.51152,02/06/2012,6.8,45.9,9
,,,,,,
bromley,0.026564,51.389542,29/08/2009,9.5,368.4,18.3
,,,,,,
wansteadflats,0.019054,51.564666,21/05/2011,7.8,114.9,7.3
,,,,,,
victoriadock,0.016265,51.50722,17/03/2018,1,109.9,8.4
,,,,,,
peacehaven,0.01295,50.794122,20/05/2017,1.8,115.8,20.8
,,,,,,
eastgrinstead,0.0019383,51.1295123,09/09/2017,1.5,90,31.1
,,,,,,
gunpowder,-0.004678,51.674525,22/10/2011,7.4,115.4,7.5
,,,,,,
beckenhamplace,-0.006019,51.417151,19/11/2016,2.3,166.8,14.8
,,,,,,
walthamstow,-0.008004,51.603186,26/01/2013,6.1,73.1,11.1
,,,,,,
catford,-0.008664,51.44822,28/04/2018,0.9,162.6,18.7
,,,,,,
barclay,-0.02179,51.759858,06/06/2015,3.8,68.4,11.3
,,,,,,
hackney-marshes,-0.02422,51.553426,29/05/2010,8.8,122.7,8.9
,,,,,,
hillyfields,-0.025685,51.45989,08/09/2012,6.5,164.8,12.9
,,,,,,
cleethorpes,-0.026524,53.54102,24/05/2014,4.8,152.3,22.5
,,,,,,
mileend,-0.035663,51.522443,04/02/2012,7.1,170.6,10.5
,,,,,,
boston,-0.038836,52.990218,24/10/2015,3.4,116,22.5
,,,,,,
southwark,-0.052587,51.494096,07/09/2013,5.5,182.6,15.1
,,,,,,
wimpoleestate,-0.053902,52.140126,12/01/2013,6.2,258.4,27.5
,,,,,,
southnorwood,-0.054939,51.399228,08/07/2017,1.7,109.4,12.8
,,,,,,
westmill,-0.058901,51.825063,22/07/2017,1.6,64.9,20.3
,,,,,,
peckhamrye,-0.059931,51.456935,21/06/2014,4.7,163.1,11.6
,,,,,,
crystalpalace,-0.064656,51.419482,29/05/2010,8.8,160.2,10.8
,,,,,,
pymmes,-0.070059,51.61763,09/04/2011,7.9,36.4,6.5
,,,,,,
lloyd,-0.077119,51.366074,23/10/2010,8.4,144.5,15
,,,,,,
dulwich,-0.077527,51.445515,14/04/2012,6.9,208.7,11.5
,,,,,,
riddlesdown,-0.078921,51.320287,02/07/2011,7.7,118.9,22.9
,,,,,,
burgess,-0.090573,51.481837,22/09/2012,6.5,185.3,12.5
,,,,,,
finsbury,-0.101109,51.570028,31/10/2009,9.4,176.9,10.4
,,,,,,
clair,-0.101237,51.003642,20/07/2013,5.6,123.4,15.9
,,,,,,
highburyfields,-0.102739,51.54859,12/11/2011,7.3,158.2,9.1
,,,,,,
